"id";"idhotel";"date";"status"
"1";"1";"1/5/2015";"0"
"2";"1";"2/5/2015";"0"
"3";"1";"3/5/2015";"0"
"4";"1";"4/5/2015";"1"
"5";"1";"5/5/2015";"0"
"6";"1";"6/5/2015";"1"
"7";"1";"7/5/2015";"1"
"8";"1";"8/5/2015";"1"
"9";"1";"9/5/2015";"0"
"10";"1";"10/5/2015";"1"
"11";"1";"11/5/2015";"1"
"12";"1";"12/5/2015";"0"
"13";"1";"13/5/2015";"1"
"14";"1";"14/5/2015";"1"
"15";"1";"15/5/2015";"0"
"16";"1";"16/5/2015";"1"
"17";"1";"17/5/2015";"0"
"18";"1";"18/5/2015";"1"
"19";"1";"19/5/2015";"1"
"20";"1";"20/5/2015";"1"
"21";"1";"21/5/2015";"0"
"22";"1";"22/5/2015";"1"
"23";"1";"23/5/2015";"1"
"24";"1";"24/5/2015";"0"
"25";"1";"25/5/2015";"0"
"26";"1";"26/5/2015";"0"
"27";"1";"27/5/2015";"0"
"28";"1";"28/5/2015";"1"
"29";"1";"29/5/2015";"1"
"30";"1";"30/5/2015";"1"
"31";"2";"1/5/2015";"0"
"32";"2";"2/5/2015";"0"
"33";"2";"3/5/2015";"0"
"34";"2";"4/5/2015";"0"
"35";"2";"5/5/2015";"1"
"36";"2";"6/5/2015";"0"
"37";"2";"7/5/2015";"1"
"38";"2";"8/5/2015";"0"
"39";"2";"9/5/2015";"1"
"40";"2";"10/5/2015";"0"
"41";"2";"11/5/2015";"1"
"42";"2";"12/5/2015";"1"
"43";"2";"13/5/2015";"1"
"44";"2";"14/5/2015";"0"
"45";"2";"15/5/2015";"1"
"46";"2";"16/5/2015";"1"
"47";"2";"17/5/2015";"0"
"48";"2";"18/5/2015";"0"
"49";"2";"19/5/2015";"0"
"50";"2";"20/5/2015";"0"
"51";"2";"21/5/2015";"1"
"52";"2";"22/5/2015";"0"
"53";"2";"23/5/2015";"0"
"54";"2";"24/5/2015";"0"
"55";"2";"25/5/2015";"0"
"56";"2";"26/5/2015";"1"
"57";"2";"27/5/2015";"0"
"58";"2";"28/5/2015";"1"
"59";"2";"29/5/2015";"1"
"60";"2";"30/5/2015";"1"
"61";"3";"1/5/2015";"0"
"62";"3";"2/5/2015";"0"
"63";"3";"3/5/2015";"1"
"64";"3";"4/5/2015";"1"
"65";"3";"5/5/2015";"1"
"66";"3";"6/5/2015";"0"
"67";"3";"7/5/2015";"0"
"68";"3";"8/5/2015";"0"
"69";"3";"9/5/2015";"0"
"70";"3";"10/5/2015";"1"
"71";"3";"11/5/2015";"1"
"72";"3";"12/5/2015";"0"
"73";"3";"13/5/2015";"1"
"74";"3";"14/5/2015";"1"
"75";"3";"15/5/2015";"0"
"76";"3";"16/5/2015";"1"
"77";"3";"17/5/2015";"1"
"78";"3";"18/5/2015";"0"
"79";"3";"19/5/2015";"1"
"80";"3";"20/5/2015";"1"
"81";"3";"21/5/2015";"1"
"82";"3";"22/5/2015";"1"
"83";"3";"23/5/2015";"1"
"84";"3";"24/5/2015";"0"
"85";"3";"25/5/2015";"1"
"86";"3";"26/5/2015";"1"
"87";"3";"27/5/2015";"1"
"88";"3";"28/5/2015";"0"
"89";"3";"29/5/2015";"1"
"90";"3";"30/5/2015";"1"
"91";"4";"1/5/2015";"1"
"92";"4";"2/5/2015";"1"
"93";"4";"3/5/2015";"0"
"94";"4";"4/5/2015";"1"
"95";"4";"5/5/2015";"0"
"96";"4";"6/5/2015";"1"
"97";"4";"7/5/2015";"1"
"98";"4";"8/5/2015";"1"
"99";"4";"9/5/2015";"1"
"100";"4";"10/5/2015";"0"
"101";"4";"11/5/2015";"1"
"102";"4";"12/5/2015";"0"
"103";"4";"13/5/2015";"1"
"104";"4";"14/5/2015";"1"
"105";"4";"15/5/2015";"1"
"106";"4";"16/5/2015";"1"
"107";"4";"17/5/2015";"1"
"108";"4";"18/5/2015";"0"
"109";"4";"19/5/2015";"1"
"110";"4";"20/5/2015";"1"
"111";"4";"21/5/2015";"1"
"112";"4";"22/5/2015";"1"
"113";"4";"23/5/2015";"1"
"114";"4";"24/5/2015";"0"
"115";"4";"25/5/2015";"1"
"116";"4";"26/5/2015";"1"
"117";"4";"27/5/2015";"1"
"118";"4";"28/5/2015";"0"
"119";"4";"29/5/2015";"0"
"120";"4";"30/5/2015";"1"
"121";"5";"1/5/2015";"1"
"122";"5";"2/5/2015";"0"
"123";"5";"3/5/2015";"0"
"124";"5";"4/5/2015";"1"
"125";"5";"5/5/2015";"1"
"126";"5";"6/5/2015";"0"
"127";"5";"7/5/2015";"1"
"128";"5";"8/5/2015";"1"
"129";"5";"9/5/2015";"1"
"130";"5";"10/5/2015";"0"
"131";"5";"11/5/2015";"0"
"132";"5";"12/5/2015";"1"
"133";"5";"13/5/2015";"0"
"134";"5";"14/5/2015";"1"
"135";"5";"15/5/2015";"0"
"136";"5";"16/5/2015";"0"
"137";"5";"17/5/2015";"1"
"138";"5";"18/5/2015";"0"
"139";"5";"19/5/2015";"1"
"140";"5";"20/5/2015";"1"
"141";"5";"21/5/2015";"1"
"142";"5";"22/5/2015";"1"
"143";"5";"23/5/2015";"0"
"144";"5";"24/5/2015";"0"
"145";"5";"25/5/2015";"0"
"146";"5";"26/5/2015";"1"
"147";"5";"27/5/2015";"1"
"148";"5";"28/5/2015";"0"
"149";"5";"29/5/2015";"0"
"150";"5";"30/5/2015";"1"
"151";"6";"1/5/2015";"0"
"152";"6";"2/5/2015";"1"
"153";"6";"3/5/2015";"0"
"154";"6";"4/5/2015";"1"
"155";"6";"5/5/2015";"1"
"156";"6";"6/5/2015";"0"
"157";"6";"7/5/2015";"0"
"158";"6";"8/5/2015";"0"
"159";"6";"9/5/2015";"0"
"160";"6";"10/5/2015";"0"
"161";"6";"11/5/2015";"0"
"162";"6";"12/5/2015";"1"
"163";"6";"13/5/2015";"0"
"164";"6";"14/5/2015";"1"
"165";"6";"15/5/2015";"0"
"166";"6";"16/5/2015";"1"
"167";"6";"17/5/2015";"1"
"168";"6";"18/5/2015";"0"
"169";"6";"19/5/2015";"1"
"170";"6";"20/5/2015";"0"
"171";"6";"21/5/2015";"0"
"172";"6";"22/5/2015";"0"
"173";"6";"23/5/2015";"0"
"174";"6";"24/5/2015";"1"
"175";"6";"25/5/2015";"0"
"176";"6";"26/5/2015";"0"
"177";"6";"27/5/2015";"1"
"178";"6";"28/5/2015";"1"
"179";"6";"29/5/2015";"1"
"180";"6";"30/5/2015";"0"
"181";"7";"1/5/2015";"1"
"182";"7";"2/5/2015";"0"
"183";"7";"3/5/2015";"1"
"184";"7";"4/5/2015";"1"
"185";"7";"5/5/2015";"1"
"186";"7";"6/5/2015";"0"
"187";"7";"7/5/2015";"1"
"188";"7";"8/5/2015";"0"
"189";"7";"9/5/2015";"0"
"190";"7";"10/5/2015";"1"
"191";"7";"11/5/2015";"1"
"192";"7";"12/5/2015";"0"
"193";"7";"13/5/2015";"0"
"194";"7";"14/5/2015";"1"
"195";"7";"15/5/2015";"1"
"196";"7";"16/5/2015";"1"
"197";"7";"17/5/2015";"0"
"198";"7";"18/5/2015";"0"
"199";"7";"19/5/2015";"1"
"200";"7";"20/5/2015";"1"
"201";"7";"21/5/2015";"1"
"202";"7";"22/5/2015";"1"
"203";"7";"23/5/2015";"1"
"204";"7";"24/5/2015";"1"
"205";"7";"25/5/2015";"1"
"206";"7";"26/5/2015";"1"
"207";"7";"27/5/2015";"1"
"208";"7";"28/5/2015";"0"
"209";"7";"29/5/2015";"1"
"210";"7";"30/5/2015";"1"
"211";"8";"1/5/2015";"0"
"212";"8";"2/5/2015";"1"
"213";"8";"3/5/2015";"1"
"214";"8";"4/5/2015";"1"
"215";"8";"5/5/2015";"0"
"216";"8";"6/5/2015";"1"
"217";"8";"7/5/2015";"0"
"218";"8";"8/5/2015";"1"
"219";"8";"9/5/2015";"0"
"220";"8";"10/5/2015";"0"
"221";"8";"11/5/2015";"0"
"222";"8";"12/5/2015";"1"
"223";"8";"13/5/2015";"1"
"224";"8";"14/5/2015";"1"
"225";"8";"15/5/2015";"1"
"226";"8";"16/5/2015";"1"
"227";"8";"17/5/2015";"1"
"228";"8";"18/5/2015";"0"
"229";"8";"19/5/2015";"1"
"230";"8";"20/5/2015";"1"
"231";"8";"21/5/2015";"1"
"232";"8";"22/5/2015";"1"
"233";"8";"23/5/2015";"1"
"234";"8";"24/5/2015";"0"
"235";"8";"25/5/2015";"1"
"236";"8";"26/5/2015";"1"
"237";"8";"27/5/2015";"0"
"238";"8";"28/5/2015";"0"
"239";"8";"29/5/2015";"0"
"240";"8";"30/5/2015";"1"
"241";"9";"1/5/2015";"1"
"242";"9";"2/5/2015";"0"
"243";"9";"3/5/2015";"0"
"244";"9";"4/5/2015";"1"
"245";"9";"5/5/2015";"1"
"246";"9";"6/5/2015";"1"
"247";"9";"7/5/2015";"1"
"248";"9";"8/5/2015";"0"
"249";"9";"9/5/2015";"1"
"250";"9";"10/5/2015";"1"
"251";"9";"11/5/2015";"1"
"252";"9";"12/5/2015";"0"
"253";"9";"13/5/2015";"1"
"254";"9";"14/5/2015";"0"
"255";"9";"15/5/2015";"0"
"256";"9";"16/5/2015";"0"
"257";"9";"17/5/2015";"1"
"258";"9";"18/5/2015";"0"
